project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
mockito,shouldPrintUnstubbedInvocation,verify,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/test/java/org/mockito/internal/debugging/WarningsFinderTest.java#L42,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/main/java/org/mockito/Mockito.java#L2901,org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),"org.mockito.Mockito.verify(T, org.mockito.verification.VerificationMode)","org.mockito.Mockito.verify(T, VerificationMode)","org.mockito.Mockito.verify(T, VerificationMode)",#test-code #test-case-method,#main-code,1,1,0,,
mockito,shouldPrintUnstubbedInvocation,only,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/test/java/org/mockito/internal/debugging/WarningsFinderTest.java#L42,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/main/java/org/mockito/Mockito.java#L3551,org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.Mockito.only(),org.mockito.Mockito.only(),org.mockito.Mockito.only(),#test-code #test-case-method,#main-code,1,1,0,,
mockito,shouldPrintUnstubbedInvocation,foundUnstubbed,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/test/java/org/mockito/internal/debugging/WarningsFinderTest.java#L42,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/main/java/org/mockito/internal/debugging/FindingsListener.java#L15,org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.FindingsListener.foundUnstubbed(org.mockito.internal.invocation.InvocationMatcher),org.mockito.internal.debugging.FindingsListener.foundUnstubbed(InvocationMatcher),org.mockito.internal.debugging.FindingsListener.foundUnstubbed(InvocationMatcher),#test-code #test-case-method,#main-code,1,1,0,,
mockito,shouldPrintUnstubbedInvocation,WarningsFinder,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/test/java/org/mockito/internal/debugging/WarningsFinderTest.java#L42,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/main/java/org/mockito/internal/debugging/WarningsFinder.java#L18,org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),"org.mockito.internal.debugging.WarningsFinder.WarningsFinder(java.util.List<org.mockito.invocation.Invocation>, java.util.List<org.mockito.internal.invocation.InvocationMatcher>)","org.mockito.internal.debugging.WarningsFinder.WarningsFinder(List, List)","org.mockito.internal.debugging.WarningsFinder.WarningsFinder(List, List)",#test-code #test-case-method,#main-code,1,1,0,,
mockito,shouldPrintUnstubbedInvocation,find,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/test/java/org/mockito/internal/debugging/WarningsFinderTest.java#L42,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/main/java/org/mockito/internal/debugging/WarningsFinder.java#L23,org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinder.find(org.mockito.internal.debugging.FindingsListener),org.mockito.internal.debugging.WarningsFinder.find(FindingsListener),org.mockito.internal.debugging.WarningsFinder.find(FindingsListener),#test-code #test-case-method,#main-code,1,1,1,,
mockito,shouldPrintUnstubbedInvocation,toInvocationMatcher,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/test/java/org/mockito/internal/debugging/WarningsFinderTest.java#L42,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/testFixtures/java/org/mockito/internal/invocation/InvocationBuilder.java#L135,org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.invocation.InvocationBuilder.toInvocationMatcher(),org.mockito.internal.invocation.InvocationBuilder.toInvocationMatcher(),org.mockito.internal.invocation.InvocationBuilder.toInvocationMatcher(),#test-code #test-case-method,#main-code,1,1,0,,
mockito,shouldPrintUnstubbedInvocation,differentMethod,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/test/java/org/mockito/internal/debugging/WarningsFinderTest.java#L42,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/testFixtures/java/org/mockito/internal/invocation/InvocationBuilder.java#L143,org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation(),org.mockito.internal.invocation.InvocationBuilder.differentMethod(),org.mockito.internal.invocation.InvocationBuilder.differentMethod(),org.mockito.internal.invocation.InvocationBuilder.differentMethod(),#test-code #test-case-method,#main-code,1,1,0,,
mockito,matchesToString,Matches,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/test/java/org/mockito/internal/matchers/MatchersToStringTest.java#L116,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/main/java/org/mockito/internal/matchers/Matches.java#L16,org.mockito.internal.matchers.MatchersToStringTest.matchesToString(),org.mockito.internal.matchers.MatchersToStringTest.matchesToString(),org.mockito.internal.matchers.MatchersToStringTest.matchesToString(),org.mockito.internal.matchers.Matches.Matches(java.lang.String),org.mockito.internal.matchers.Matches.Matches(String),org.mockito.internal.matchers.Matches.Matches(String),#test-code #test-case-method,#main-code,1,1,0,,
mockito,matchesToString,Matches,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/test/java/org/mockito/internal/matchers/MatchersToStringTest.java#L116,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/main/java/org/mockito/internal/matchers/Matches.java#L20,org.mockito.internal.matchers.MatchersToStringTest.matchesToString(),org.mockito.internal.matchers.MatchersToStringTest.matchesToString(),org.mockito.internal.matchers.MatchersToStringTest.matchesToString(),org.mockito.internal.matchers.Matches.Matches(java.util.regex.Pattern),org.mockito.internal.matchers.Matches.Matches(Pattern),org.mockito.internal.matchers.Matches.Matches(Pattern),#test-code #test-case-method,#main-code,1,1,0,,
mockito,matchesToString,toString,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/test/java/org/mockito/internal/matchers/MatchersToStringTest.java#L116,https://github.com/mockito/mockito/blob/d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690/mockito-core/src/main/java/org/mockito/internal/matchers/Matches.java#L30,org.mockito.internal.matchers.MatchersToStringTest.matchesToString(),org.mockito.internal.matchers.MatchersToStringTest.matchesToString(),org.mockito.internal.matchers.MatchersToStringTest.matchesToString(),org.mockito.internal.matchers.Matches.toString(),org.mockito.internal.matchers.Matches.toString(),org.mockito.internal.matchers.Matches.toString(),#test-code #test-case-method,#main-code,1,1,1,,
